,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
58,0.28239712715148924,0.007742022063015686,0.012496185302734376,0.006248095582652986,8,6,40,"{'max_depth': 8, 'max_features': 6, 'n_estimators': 40}",0.9967190123399978,0.9973745348567307,0.9971422111909068,0.9946467101866262,0.9963536218163155,0.9964472180781154,0.0009661669506931955,1
67,0.22818713188171386,0.010492823238649668,0.01288137435913086,0.0028733410999904918,10,5,30,"{'max_depth': 10, 'max_features': 5, 'n_estimators': 30}",0.9964746258643503,0.9969097477422377,0.997302021983244,0.9939236820633571,0.9973541352890228,0.9963928425884424,0.0012744664741764576,2
69,0.3648874759674072,0.010660535885410096,0.016545629501342772,0.0013285557251909788,10,5,50,"{'max_depth': 10, 'max_features': 5, 'n_estimators': 50}",0.9966955307410464,0.9970817250052273,0.9973419068073572,0.9934375211398018,0.9972536975697884,0.9963620762526443,0.0014789973171117025,3
66,0.1570812225341797,0.012314146957036464,0.010750818252563476,0.005917972391639198,10,5,20,"{'max_depth': 10, 'max_features': 5, 'n_estimators': 20}",0.9968186526048702,0.99676536443463,0.9975725605664133,0.9934760357480403,0.997128075520299,0.9963521377748507,0.0014664151119365997,4
74,0.41425485610961915,0.015668545210273374,0.016866016387939452,0.0029888293144857015,10,6,50,"{'max_depth': 10, 'max_features': 6, 'n_estimators': 50}",0.9964199666628257,0.9971286282038438,0.9970347065570424,0.9942469750014141,0.9967330668831915,0.9963126686616635,0.001062305654748214,5
57,0.21860456466674805,0.008447586473799548,0.005877113342285157,0.004584311069062172,8,6,30,"{'max_depth': 8, 'max_features': 6, 'n_estimators': 30}",0.9962977490897419,0.9973678271486243,0.9970752074121698,0.9940501256413731,0.9966986404889073,0.9962979099561633,0.0011800028343530405,6
59,0.3571753025054932,0.006129024092307697,0.015504026412963867,0.0002462075422052132,8,6,50,"{'max_depth': 8, 'max_features': 6, 'n_estimators': 50}",0.9966410603337232,0.9971521600395401,0.9968395540438345,0.9939750442272177,0.9968039073556324,0.9962823451999896,0.001165452784035769,7
68,0.29808869361877444,0.012339381601384496,0.01810431480407715,0.003841313958503334,10,5,40,"{'max_depth': 10, 'max_features': 5, 'n_estimators': 40}",0.996708911071131,0.9970128339483615,0.9972142045845294,0.9932008681421458,0.9972038159599629,0.9962681267412261,0.0015445085019598114,8
50,0.06403484344482421,0.003042361656815031,0.0067672252655029295,0.007456883441526239,8,5,10,"{'max_depth': 8, 'max_features': 5, 'n_estimators': 10}",0.9961422493014344,0.9968776909576753,0.997064683854162,0.9942224798622513,0.9968194789476054,0.9962253165846257,0.0010489436361778898,9
72,0.2547370433807373,0.01115748018096769,0.013572502136230468,0.0025251700901603876,10,6,30,"{'max_depth': 10, 'max_features': 6, 'n_estimators': 30}",0.9960042711960523,0.9971709483325022,0.9964507307290931,0.9943351726748965,0.9969138129053932,0.9961749871675873,0.0010027859128475315,10
