,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_features,param_max_depth,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
0,0.2312772750854492,0.013943857336468466,0.01011795997619629,0.0057715545526761634,30,5,10,"{'n_estimators': 30, 'max_features': 5, 'max_depth': 10}",0.9960346897432761,0.9975182352526191,0.9974874392808211,0.994115190985878,0.9971656579558257,0.9964642426436839,0.0012924685375927116,1
14,0.3716280937194824,0.011476018851491517,0.021607017517089842,0.006265108549370009,50,5,10,"{'n_estimators': 50, 'max_features': 5, 'max_depth': 10}",0.9964365646700184,0.9973225580522163,0.9972251026923032,0.9939359093172058,0.9970614501824854,0.9963963169828458,0.001268261503122693,2
6,0.43096146583557127,0.00942656308068359,0.020941448211669923,0.0029311226208192753,50,6,10,"{'n_estimators': 50, 'max_features': 6, 'max_depth': 10}",0.9964506489076365,0.9968367988941291,0.9971033370388709,0.9939886404381321,0.9970794491547038,0.9962917748866944,0.001175226300819934,3
13,0.27504119873046873,0.014392120187139607,0.014290857315063476,0.004659267019009462,40,6,8,"{'n_estimators': 40, 'max_features': 6, 'max_depth': 8}",0.9964100368982032,0.9966458148716931,0.997151067602105,0.9942585243025607,0.9963347908695545,0.9961600469088234,0.0009926642128124975,4
9,0.08040571212768555,0.015342363535592611,0.011253976821899414,0.004980573030101349,10,5,10,"{'n_estimators': 10, 'max_features': 5, 'max_depth': 10}",0.9962795591515493,0.9967535233396344,0.9977942486106766,0.9928914453389659,0.9970117962045878,0.9961461145290829,0.0016997279300942974,5
10,0.19083914756774903,0.017870948928116703,0.01627383232116699,0.0024714950679759528,30,6,8,"{'n_estimators': 30, 'max_features': 6, 'max_depth': 8}",0.9964142340020933,0.9972339289563549,0.9967320970424169,0.9938825543203407,0.9964316497746504,0.9961388928191713,0.0011664971680646204,6
8,0.23272948265075682,0.0044192386204952566,0.01080327033996582,0.004211482981344341,40,6,6,"{'n_estimators': 40, 'max_features': 6, 'max_depth': 6}",0.9952738034334115,0.9962217911220265,0.9967963552187544,0.9917867708366442,0.9961744837778355,0.9952506408777344,0.0017991544397654201,7
2,0.21396980285644532,0.009670621813595542,0.010921573638916016,0.0025172324929249564,40,4,8,"{'n_estimators': 40, 'max_features': 4, 'max_depth': 8}",0.9954211006787421,0.9962370550000622,0.9967351222878436,0.9905425503054563,0.9962845898583262,0.995044083626086,0.002290309684808798,8
12,0.059256458282470705,0.005548149584740947,0.005929422378540039,0.0030986237929074576,10,5,6,"{'n_estimators': 10, 'max_features': 5, 'max_depth': 6}",0.9921204895426806,0.9939587350873135,0.9955147418788138,0.9881591900600696,0.99307466687028,0.9925655646878315,0.00247030298315782,9
3,0.08762588500976562,0.0047647201399974495,0.014589881896972657,0.004039573838293248,20,4,6,"{'n_estimators': 20, 'max_features': 4, 'max_depth': 6}",0.992450260209855,0.9897993901485821,0.9895330968040468,0.9832124882444067,0.9916916699469099,0.9893373810707601,0.0032557260885257874,10
5,0.13199315071105958,0.005377123436291732,0.005717754364013672,0.005026114462524185,30,6,4,"{'n_estimators': 30, 'max_features': 6, 'max_depth': 4}",0.9689241141035139,0.9670047605602518,0.9810274674226848,0.962858809990292,0.9724867015453638,0.9704603707244213,0.00612951222909297,11
7,0.16502485275268555,0.007539419092603963,0.007181406021118164,0.006129780425739652,40,5,4,"{'n_estimators': 40, 'max_features': 5, 'max_depth': 4}",0.9679606648649217,0.9651421460545746,0.9808337334782844,0.9598758568462572,0.9714166944905462,0.9690458191469169,0.007001148565797167,12
11,0.04493546485900879,0.0035100464421764436,0.006535577774047852,0.0020227774835677296,10,5,4,"{'n_estimators': 10, 'max_features': 5, 'max_depth': 4}",0.9650325709315284,0.9641114785261062,0.9710296773123235,0.9575861317470752,0.9711376338362765,0.9657794984706619,0.005034787821090584,13
4,0.17754154205322265,0.011323110485376682,0.011524391174316407,0.004691662550511198,50,4,4,"{'n_estimators': 50, 'max_features': 4, 'max_depth': 4}",0.954760799096755,0.9553434143532121,0.9631834232562747,0.9451540208473752,0.9589573941571662,0.9554798103421567,0.0059765667543889385,14
1,0.03614354133605957,0.004650620527702091,0.005391216278076172,0.004442378274426674,10,5,3,"{'n_estimators': 10, 'max_features': 5, 'max_depth': 3}",0.9184761417034033,0.917713367238079,0.9299791321865774,0.8932071248221933,0.9141428136093366,0.9147037159119179,0.011992043859937511,15
