Brand,Product_name,Processor,RAM,ROM,Battery,Display_Size,Camera,No_of_ratings,No_of_reviews,Rating,Price
vivo,"vivo T2 5G (Velocity Wave, 128 GB)",Snapdragon 695,8 GB,128 GB,4500 mAh,6.38 inch,64 MP (OIS) + 2MP | 16MP Front Camera,4509,301,4.4,20999.0
vivo,"vivo T2 5G (Nitro Blaze, 128 GB)",Snapdragon 695,8 GB,128 GB,4500 mAh,6.38 inch,64 MP (OIS) + 2MP | 16MP Front Camera,4509,301,4.4,20999.0
APPLE,"APPLE iPhone 14 (Midnight, 128 GB)",6 Core Processor,,128 GB,,6.1 inch,12MP + 12MP | 12MP Front Camera,37021,1428,4.6,69999.0
APPLE,"APPLE iPhone 14 (Purple, 128 GB)",6 Core Processor,,128 GB,,6.1 inch,12MP + 12MP | 12MP Front Camera,37021,1428,4.6,69999.0
APPLE,"APPLE iPhone 14 (Starlight, 128 GB)",6 Core Processor,,128 GB,,6.1 inch,12MP + 12MP | 12MP Front Camera,37021,1428,4.6,69999.0
Google,"Google Pixel 6a (Charcoal, 128 GB)",Google Tensor,6 GB,128 GB,4410 mAh,6.14 inch,2MP + 12MP | 8MP Front Camera,46804,5621,4.3,28999.0
Google,"Google Pixel 6a (Chalk, 128 GB)",Google Tensor,6 GB,128 GB,4410 mAh,6.14 inch,2MP + 12MP | 8MP Front Camera,46804,5621,4.3,28999.0
realme,"realme GT 2 (Steel Black, 128 GB)",Qualcomm Snapdragon 888,8 GB,128 GB,5000 mAh,6.62 inch,50MP + 8MP + 2MP | 16MP Front Camera,9610,1131,4.3,23999.0
POCO,"POCO X5 Pro 5G (Horizon Blue, 256 GB)",Qualcomm Snapdragon 778G,8 GB,256 GB,5000 mAh,6.67 inch,108MP + 8MP + 2MP | 16MP Front Camera,7800,821,4.3,23999.0
APPLE,"APPLE iPhone 13 (Green, 128 GB)",A15 Bionic Chip,,128 GB,,6.1 inch,12MP + 12MP | 12MP Front Camera,225513,11650,4.7,61999.0
POCO,"POCO X5 Pro 5G (Astral Black, 256 GB)",Qualcomm Snapdragon 778G,8 GB,256 GB,5000 mAh,6.67 inch,108MP + 8MP + 2MP | 16MP Front Camera,7800,821,4.3,23999.0
REDMI,"REDMI K50i 5G (Stealth Black, 256 GB)",Dimensity 8100,8 GB,256 GB,5080 mAh,6.6 inch,64MP + 8MP + 2MP | 16MP Front Camera,871,90,4.2,23999.0
vivo,"vivo V27 5G (Noble Black, 128 GB)",Mediatek Dimensity 7200 5G,8 GB,128 GB,4600 mAh,,50MP (OIS) + 8MP + 2MP | 50MP Front Camera,14254,1677,4.4,32999.0
REDMI,"REDMI Note 12 Pro 5G (Stardust Purple, 128 GB)",Mediatek Dimensity 1080,6 GB,128 GB,5000 mAh,6.67 inch,50MP (OIS) + 8MP + 2MP | 16MP Front Camera,23532,2311,4.3,23999.0
SAMSUNG,"SAMSUNG Galaxy M33 5G (Deep Ocean Blue, 128 GB)",,8 GB,128 GB,6000 mAh,6.6 inch,50MP Rear Camera,2556,177,4.2,20691.0
APPLE,"APPLE iPhone 14 (Blue, 128 GB)",6 Core Processor,,128 GB,,6.1 inch,12MP + 12MP | 12MP Front Camera,37021,1428,4.6,69999.0
SAMSUNG,"SAMSUNG Galaxy S22 Plus 5G (Phantom Black, 128 GB)",Qualcomm Snapdragon 8 Gen 1,8 GB,128 GB,4500 mAh,6.6 inch,50MP + 12MP + 10MP | 10MP Front Camera,3299,372,4.5,49999.0
vivo,"vivo V27 5G (Magic Blue, 128 GB)",Mediatek Dimensity 7200 5G,8 GB,128 GB,4600 mAh,,50MP (OIS) + 8MP + 2MP | 50MP Front Camera,14254,1677,4.4,32999.0
REDMI,"REDMI Note 12 Pro 5G (Glacier Blue, 128 GB)",Mediatek Dimensity 1080,6 GB,128 GB,5000 mAh,6.67 inch,50MP (OIS) + 8MP + 2MP | 16MP Front Camera,23532,2311,4.3,23999.0
POCO,"POCO X5 Pro 5G (Horizon Blue, 128 GB)",Qualcomm Snapdragon 778G,6 GB,128 GB,5000 mAh,6.67 inch,108MP + 8MP + 2MP | 16MP Front Camera,8165,899,4.3,21999.0
SAMSUNG,"SAMSUNG Galaxy M33 5G (Mystique Green, 128 GB)",,6 GB,128 GB,6000 mAh,6.59 inch,50MP Rear Camera,10333,770,4.2,20990.0
REDMI,"REDMI Note 12 Pro 5G (Stardust Purple, 256 GB)",Mediatek Dimensity 1080,8 GB,256 GB,5000 mAh,6.67 inch,50MP (OIS) + 8MP + 2MP | 16MP Front Camera,10198,987,4.2,26999.0
OnePlus,"OnePlus Nord 2T 5G (Gray Shadow, 128 GB)",,8 GB,128 GB,4500 mAh,6.7 inch,50MP Rear Camera,8983,752,4.3,27738.0
REDMI,"REDMI Note 12 Pro+ 5G (Obsidian Black, 256 GB)",Mediatek Dimensity 1080,8 GB,256 GB,4980 mAh,6.67 inch,200MP + 8MP + 2MP | 16MP Front Camera,11315,1211,4.3,29999.0
MOTOROLA,"MOTOROLA g82 5G (White Lily, 128 GB)",Qualcomm Snapdragon 695 5G,8 GB,128 GB,5000 mAh,6.6 inch,50MP + 8MP + 2MP | 16MP Front Camera,6352,740,4.1,21499.0
REDMI,"REDMI Note 12 Pro 5G (Stardust Purple, 128 GB)",Mediatek Dimensity 1080,8 GB,128 GB,5000 mAh,6.67 inch,50MP (OIS) + 8MP + 2MP | 16MP Front Camera,10198,987,4.2,25999.0
POCO,"POCO X5 Pro 5G (Yellow, 256 GB)",Qualcomm Snapdragon 778G,8 GB,256 GB,5000 mAh,6.67 inch,108MP + 8MP + 2MP | 16MP Front Camera,7800,821,4.3,23999.0
POCO,"POCO F5 5G (Snowstorm White, 256 GB)",,8 GB,256 GB,5000 mAh,6.67 inch,64MP (OIS) + 8MP + 2MP | 16MP Front Camera,0,0,,29999.0
POCO,"POCO X5 Pro 5G (Yellow, 128 GB)",Qualcomm Snapdragon 778G,6 GB,128 GB,5000 mAh,6.67 inch,108MP + 8MP + 2MP | 16MP Front Camera,8165,899,4.3,21999.0
REDMI,"REDMI Note 12 Pro 5G (Onyx Black, 128 GB)",Mediatek Dimensity 1080,8 GB,128 GB,5000 mAh,6.67 inch,50MP (OIS) + 8MP + 2MP | 16MP Front Camera,10198,987,4.2,25999.0
SAMSUNG,"SAMSUNG Galaxy S20 FE 5G (Cloud Navy, 128 GB)",,8 GB,128 GB,4500 mAh,6.5 inch,12MP Rear Camera,1258,83,4.2,28999.0
SAMSUNG,"SAMSUNG Galaxy M33 5G (Deep Ocean Blue, 128 GB)",,6 GB,128 GB,6000 mAh,6.6 inch,50MP Rear Camera,10333,770,4.2,22767.0
APPLE,"APPLE iPhone 13 (Pink, 128 GB)",A15 Bionic Chip,,128 GB,,6.1 inch,12MP + 12MP | 12MP Front Camera,225513,11650,4.7,61999.0
OnePlus,"OnePlus 11R 5G (Sonic Black, 256 GB)",,16 GB,256 GB,5000 mAh,6.7 inch,50MP Rear Camera,2423,193,4.6,44787.0
OnePlus,"OnePlus Nord 2T 5G (Jade Fog, 128 GB)",,8 GB,128 GB,4500 mAh,6.7 inch,50MP Rear Camera,8983,752,4.3,27999.0
REDMI,"REDMI Note 12 Pro+ 5G (Arctic White, 256 GB)",Mediatek Dimensity 1080,8 GB,256 GB,4980 mAh,6.67 inch,200MP + 8MP + 2MP | 16MP Front Camera,11315,1211,4.3,29999.0
SAMSUNG,"SAMSUNG Galaxy M33 5G (Emarld Brown, 128 GB)",,6 GB,128 GB,6000 mAh,6.6 inch,50MP Rear Camera,10333,770,4.2,20990.0
REDMI,"REDMI Note 12 Pro 5G (Onyx Black, 128 GB)",Mediatek Dimensity 1080,6 GB,128 GB,5000 mAh,6.67 inch,50MP (OIS) + 8MP + 2MP | 16MP Front Camera,23532,2311,4.3,23999.0
MOTOROLA,"MOTOROLA g82 5G (Meterorite Grey, 128 GB)",Qualcomm Snapdragon 695 5G,8 GB,128 GB,5000 mAh,6.6 inch,50MP + 8MP + 2MP | 16MP Front Camera,6352,740,4.1,21499.0
APPLE,"APPLE iPhone 11 (White, 128 GB)",A13 Bionic Chip,,128 GB,,6.1 inch,12MP + 12MP | 12MP Front Camera,195903,11239,4.6,45199.0
REDMI,"REDMI Note 12 Pro 5G (Glacier Blue, 256 GB)",Mediatek Dimensity 1080,8 GB,256 GB,5000 mAh,6.67 inch,50MP (OIS) + 8MP + 2MP | 16MP Front Camera,10198,987,4.2,26999.0
APPLE,"APPLE iPhone 13 (Midnight, 128 GB)",A15 Bionic Chip,,128 GB,,6.1 inch,12MP + 12MP | 12MP Front Camera,225513,11650,4.7,61999.0
REDMI,"REDMI Note 12 Pro+ 5G (Iceberg Blue, 256 GB)",Mediatek Dimensity 1080,8 GB,256 GB,4980 mAh,6.67 inch,200MP + 8MP + 2MP | 16MP Front Camera,11315,1211,4.3,29999.0
OnePlus,"OnePlus 11R 5G (Galactic Silver, 256 GB)",,16 GB,256 GB,5000 mAh,6.7 inch,50MP Rear Camera,2423,193,4.6,44899.0
SAMSUNG,"SAMSUNG Galaxy S20 FE 5G (Cloud Mint, 128 GB)",,8 GB,128 GB,4500 mAh,6.5 inch,12MP Rear Camera,1258,83,4.2,26750.0
OnePlus,"OnePlus 11R 5G (Sonic Black, 128 GB)",,8 GB,128 GB,5000 mAh,6.7 inch,50MP Rear Camera,3010,300,4.5,39788.0
vivo,"vivo T1 44W (Midnight Galaxy, 128 GB)",Qualcomm Snapdragon 680,8 GB,128 GB,5000 mAh,6.44 inch,50MP + 2MP + 2MP | 16MP Front Camera,6991,541,4.3,20990.0
REDMI,"REDMI Note 12 Pro+ 5G (Iceberg Blue, 256 GB)",Mediatek Dimensity 1080,12 GB,256 GB,4980 mAh,6.67 inch,200MP + 8MP + 2MP | 16MP Front Camera,4325,472,4.2,32999.0
POCO,"POCO X5 Pro 5G (Astral Black, 128 GB)",Qualcomm Snapdragon 778G,6 GB,128 GB,5000 mAh,6.67 inch,108MP + 8MP + 2MP | 16MP Front Camera,8165,899,4.3,21999.0
APPLE,"APPLE iPhone 13 (Blue, 128 GB)",A15 Bionic Chip,,128 GB,,6.1 inch,12MP + 12MP | 12MP Front Camera,225513,11650,4.7,61999.0
APPLE,"APPLE iPhone 11 (Black, 128 GB)",A13 Bionic Chip,,128 GB,,6.1 inch,12MP + 12MP | 12MP Front Camera,195903,11239,4.6,45199.0
realme,"realme 9 Pro+ 5G (Midnight Black, 256 GB)",Mediatek Dimensity 920,8 GB,256 GB,4500 mAh,6.4 inch,50MP + 8MP + 2MP | 16MP Front Camera,32649,3550,4.4,21999.0
realme,"realme 9 Pro+ 5G (Aurora Green, 256 GB)",Mediatek Dimensity 920,8 GB,256 GB,4500 mAh,6.4 inch,50MP + 8MP + 2MP | 16MP Front Camera,32649,3550,4.4,21999.0
APPLE,"APPLE iPhone 13 (Starlight, 128 GB)",A15 Bionic Chip,,128 GB,,6.1 inch,12MP + 12MP | 12MP Front Camera,225513,11650,4.7,61999.0
REDMI,"REDMI K50i 5G (Quick Silver, 128 GB)",Dimensity 8100,6 GB,128 GB,5080 mAh,6.6 inch,64MP + 8MP + 2MP | 16MP Front Camera,2443,261,4.1,20999.0
APPLE,"APPLE iPhone 11 (White, 64 GB)",A13 Bionic Chip,,64 GB,,6.1 inch,12MP + 12MP | 12MP Front Camera,195903,11239,4.6,41199.0
SAMSUNG,"SAMSUNG Galaxy Z Flip3 5G (Phantom Black, 128 GB)",Core,8 GB,128 GB,3300 mAh,6.7 inch,12MP + 12MP | 10MP Front Camera,4314,291,4.3,44999.0
MOTOROLA,"MOTOROLA Edge 40 (Eclipse Black, 256 GB)",Dimensity 8020,8 GB,256 GB,4400 mAh,6.55 inch,50MP + 13MP | 32MP Front Camera,2151,482,4.3,29999.0
realme,"realme 9 Pro+ 5G (Sunrise Blue, 256 GB)",Mediatek Dimensity 920,8 GB,256 GB,4500 mAh,6.4 inch,50MP + 8MP + 2MP | 16MP Front Camera,32649,3550,4.4,21999.0
POCO,"POCO F5 5G (Carbon Black, 256 GB)",,8 GB,256 GB,5000 mAh,6.67 inch,64MP (OIS) + 8MP + 2MP | 16MP Front Camera,0,0,,29999.0
SAMSUNG,"SAMSUNG Galaxy S20 FE (Cloud Mint, 128 GB)",,8 GB,128 GB,4500 mAh,6.5 inch,12MP Rear Camera,1011,91,4.0,27696.0
